"","group","tissue"
"colonFMT1","FMT","colon"
"colonFMT2","FMT","colon"
"colonFMT3","FMT","colon"
"colonGF1","GF","colon"
"colonGF2","GF","colon"
"colonGF3","GF","colon"
"colonSPF1","SPF","colon"
"colonSPF2","SPF","colon"
"colonSPF3","SPF","colon"
"heartFMT1","FMT","heart"
"heartFMT2","FMT","heart"
"heartFMT3","FMT","heart"
"heartGF1","GF","heart"
"heartGF2","GF","heart"
"heartGF3","GF","heart"
"heartSPF1","SPF","heart"
"heartSPF2","SPF","heart"
"heartSPF3","SPF","heart"
"jejunumFMT1","FMT","jejunum"
"jejunumFMT3.1","FMT","jejunum"
"jejunumFMT3.2","FMT","jejunum"
"jejunumGF2.1","GF","jejunum"
"jejunumGF2.2","GF","jejunum"
"jejunumGF3","GF","jejunum"
"jejunumSPF2.1","SPF","jejunum"
"jejunumSPF2.2","SPF","jejunum"
"jejunumSPF2.3","SPF","jejunum"
"kidneyFMT1","FMT","kidney"
"kidneyFMT2","FMT","kidney"
"kidneyFMT3","FMT","kidney"
"kidneyGF1","GF","kidney"
"kidneyGF2","GF","kidney"
"kidneyGF3","GF","kidney"
"kidneySPF1","SPF","kidney"
"kidneySPF2","SPF","kidney"
"kidneySPF3","SPF","kidney"
"liverFMT1","FMT","liver"
"liverFMT2","FMT","liver"
"liverFMT3","FMT","liver"
"liverGF1","GF","liver"
"liverGF2","GF","liver"
"liverGF3","GF","liver"
"liverSPF1","SPF","liver"
"liverSPF2","SPF","liver"
"liverSPF3","SPF","liver"
"lungFMT1","FMT","lung"
"lungFMT2","FMT","lung"
"lungFMT3","FMT","lung"
"lungGF1","GF","lung"
"lungGF2","GF","lung"
"lungGF3","GF","lung"
"lungSPF1","SPF","lung"
"lungSPF2","SPF","lung"
"lungSPF3","SPF","lung"
